22,29,2
29,53,2
44,42,2
8,15,2
24,31,2
16,39,2
1,7,2
40,24,2
10,9,2
8,7,2
33,56,2
40,39,2
15,8,2
17,40,1
9,16,2
26,33,2
24,40,1
10,17,1
10,36,1
21,28,2
35,58,2
9,8,2
23,30,2
7,13,1
24,23,1
44,43,1
21,6,1
16,15,1
11,10,1
23,22,1
43,41,1
33,32,1
36,3,1
40,17,1
32,31,1
38,12,2
32,25,1
41,40,1
28,21,1
17,10,1
35,34,1
28,27,1
2,1,1
38,5,0
44,19,1
42,41,0
30,29,1
4,48,0
43,18,0
39,23,0
5,38,0
41,43,0
36,10,1
31,24,0
41,25,0
4,3,0
2,47,0
42,26,1
21,20,0
4,37,1
25,32,0
12,11,0
30,54,1
35,28,0
15,14,0
31,32,0
7,14,0
22,23,0
25,41,0
2,9,1
34,33,0
33,26,0
27,26,1
7,1,0
43,44,0
1,45,0
3,2,0
22,14,0
42,44,0
19,44,0
39,40,0
29,51,0
18,11,0
26,25,0
7,8,0
30,31,0
23,24,0
37,36,0
15,16,0
19,12,0
11,18,0
18,43,0
37,4,0
25,24,0
34,57,0
27,20,0
28,35,0
32,33,0
12,38,0
23,39,0
36,37,0
33,34,0
29,22,0
40,41,0
31,30,0
3,36,0
38,37,0
39,16,0
14,7,0
29,30,0
17,16,0
37,11,0
26,42,0
2,3,0
5,49,0
11,37,0
27,28,0
18,17,0
9,2,0
20,21,0
34,35,0
32,55,0
10,11,0
14,15,0
16,9,0
26,27,0
24,25,0
20,19,0
9,10,0
20,27,0
35,52,0
14,22,0
16,17,0
25,26,0
17,18,0
8,9,0
6,5,0
4,5,0
34,27,0
3,4,0
19,18,0
30,23,0
5,4,0
41,42,0
19,20,0
18,19,0
12,19,0
5,6,0
1,2,0
37,38,0
27,34,0
11,12,0
6,21,0
6,50,0
6,46,0
